Lat,Long,Confirmed,Deaths,Recovered,cluster
33.8547,35.8623,886,26,236,2
35.90775700000001,127.766922,13417,289,12178,2
35.1917,108.8701,3,0,0,2
39.3054,117.323,203,3,195,2
30.3753,69.3451,10076,212,2156,2
-35.4735,149.0124,103,2,72,2
46.8625,103.8467,141,0,33,2
61.92411,25.748151,7301,329,6800,2
18.2206,-63.0686,0,0,0,2
23.7,121.0,376,5,57,2
37.2692,106.1655,75,0,75,2
41.6086,21.7453,1511,84,945,2
-4.6796,55.492,0,0,0,2
23.3417,113.4244,1643,8,1631,2
19.85627,102.495496,0,0,0,2
1.2833,103.8333,49098,27,45015,2
35.9375,14.3754,412,3,82,2
8.460555000000001,-11.779889,0,0,0,2
-12.8275,45.166244,0,0,0,2
54.2361,-4.5481,13,0,0,2
-1.9403,29.8739,1,0,0,2
3.848,11.5021,2,0,0,2
-9.19,-75.0152,67307,1889,21349,2
-13.2543,34.3015,1613,17,317,2
33.93911,67.709953,24102,451,4201,2
16.5388,-23.0418,328,3,84,2
7.54,-5.5471,2477,30,1286,2
19.1959,109.7453,168,5,151,2
41.1533,20.1683,3038,81,1744,2
10.6918,-61.2225,116,8,103,2
47.5162,14.5501,17941,705,16514,2
15.2,-86.2419,52,1,0,2
42.3154,43.3569,13,0,0,2
-13.133897,27.849332,0,0,0,2
41.2956,122.6085,157,2,150,2
11.55,104.9167,1,0,0,2
64.2823,-135.0,0,0,0,2
23.8298,108.7881,254,2,252,2
-13.133897,27.849332,1497,18,1223,2
8.460555000000001,-11.779889,0,0,0,2
28.0339,1.6596,48,4,12,2
23.7,121.0,45,1,15,2
13.9094,-60.9789,18,0,18,2
-18.665695,35.529562,0,0,0,2
31.24,36.51,34,0,1,2
23.3417,113.4244,1588,8,1557,2
21.521757,-77.78116700000002,0,0,0,2
29.31166,47.481766,43,0,0,2
8.6195,0.8248,0,0,0,2
43.7333,7.4167,0,0,0,2
-18.766947,46.869107,0,0,0,2
22.1667,113.55,10,0,1,2
40.0,-100.0,2467554,125631,670809,0
32.3078,-64.7505,0,0,0,2
46.8852,-56.3159,1,0,1,2
-18.766947,46.869107,3782,33,1950,2
-3.3731,29.9189,11,1,4,2
24.974,101.487,172,0,57,2
33.223191,43.679291,6868,215,3275,2
4.210483999999999,101.975766,7185,115,5912,2
64.8255,-124.8457,5,0,0,2
17.570692,-3.996166000000001,1059,67,604,2
-37.8136,144.9631,4,0,4,2
8.538,-80.7821,1475,37,10,2
35.7452,95.9956,18,0,18,2
30.9756,112.2707,68128,4512,63616,2
32.9711,119.455,655,0,654,2
-22.9576,18.4904,0,0,0,2
12.1165,-61.679,23,0,23,2
-18.766947,46.869107,7049,59,3498,2
54.2361,-4.5481,0,0,0,2
53.7098,27.9534,22052,126,6050,2
30.3753,69.3451,1201,9,21,2
48.0196,66.9237,7234,35,3843,2
1.2833,103.8333,93,0,62,2
4.210483999999999,101.975766,29,0,18,2
