Lat,Long,Confirmed,Deaths,Recovered,cluster,prob
23.885942,45.079162,237803,2283,177560,4,1.0
-33.8688,151.2093,3071,45,2605,0,0.9999999908548549
43.6661,126.1923,112,1,103,3,0.9996347779031102
41.377491,64.585262,0,0,0,3,0.9996054155131091
43.9424,12.4578,654,41,203,0,0.9983377751294572
25.025885,-78.035889,0,0,0,3,0.9999273968863103
1.373333,32.290275,646,0,103,0,0.5365489492201241
41.1129,85.2401,76,3,73,3,0.9996351301823174
-11.6455,43.3333,0,0,0,3,0.9998195968354685
16.742498,-62.187366,0,0,0,3,0.9999141034584832
-4.6796,55.492,81,0,11,3,0.9997949360060947
19.3133,-81.2546,187,1,115,3,0.9998592485393386
-23.4425,-58.4438,11,0,0,3,0.9999413846444729
44.0165,21.0059,13792,267,12338,4,0.9999999999999984
17.607789,8.081666,0,0,0,3,0.9998002015376888
14.4974,-14.4524,3130,35,1515,0,0.999995411543852
0.1864,6.6131,713,13,219,3,0.5749421538812067
31.6927,88.0924,1,0,1,3,0.9996146326848409
11.8251,42.5903,4643,52,4348,0,0.99983229040194
-33.8688,151.2093,3110,48,2714,0,0.9999999897555512
36.204824,138.252924,23172,984,18126,4,1.0
-33.8688,151.2093,1405,7,4,0,0.9999999813001159
-33.8688,151.2093,3429,49,2988,0,0.9999999870623705
-26.5225,31.4659,0,0,0,3,0.999862866969836
40.0,-100.0,1288587,78497,198993,2,1.0
-26.5225,31.4659,9,0,0,3,0.9998646970588203
16.742498,-62.187366,11,1,2,3,0.9999155869684232
47.4116,28.3699,0,0,0,3,0.9996707358313579
34.802075,38.99681500000001,0,0,0,3,0.9996880521286057
53.7267,-127.6476,2990,183,0,0,0.9999978265273478
46.8182,8.2275,0,0,0,3,0.9997275527674744
18.7357,-70.1627,12314,428,5847,4,0.9339220537139562
-29.61,28.2336,91,0,11,3,0.9998653061742462
45.9432,24.9668,21404,1380,15445,4,1.0
9.3077,2.3158,0,0,0,3,0.999827652669473
41.20438,74.766098,554,5,133,3,0.9659167831097406
19.3133,-81.2546,66,1,7,3,0.999935534689533
17.607789,8.081666,709,31,403,0,0.9929214451456635
6.4238,-66.5897,1211,11,302,0,0.9999933293051576
14.4974,-14.4524,2976,34,1416,0,0.9999956454752615
16.265,-61.551,171,14,157,3,0.9991772076085669
29.1832,120.0934,1268,1,1247,0,0.9999982356804423
31.7917,-7.0926,12636,228,9026,4,0.9999125121163407
-0.228,15.8277,1087,37,456,0,0.9999976902601493
15.552727,48.516388,310,77,13,0,0.9999918519495211
17.357822,-62.782998,0,0,0,3,0.9999143532270675
29.31166,47.481766,2892,19,656,0,0.9999943508996952
14.6415,-61.0242,249,14,98,3,0.9995660984843724
8.460555000000001,-11.779889,534,33,167,0,0.641171654414497
-13.133897,27.849332,1477,18,1213,0,0.9999989599340902
37.8957,114.9042,1276,22,0,0,0.9999956856978084
38.9637,35.2433,190165,5001,162848,4,1.0
9.9456,-9.6966,0,0,0,3,0.9998457948425187
-37.8136,144.9631,1521,18,1385,0,0.9999999951235985
-4.0383,21.7587,0,0,0,3,0.9998270708288333
40.0691,45.0382,27900,477,15935,4,1.0
-17.7134,178.065,27,0,18,3,0.9998539466077795
31.046051,34.851612,1,0,0,3,0.9997105724059308
3.9193,-56.0278,0,0,0,3,0.9999173746968936
51.9194,19.1451,2554,43,47,0,0.9999929020324532
-11.2027,17.8739,0,0,0,3,0.9998467284141276
41.377491,64.585262,2612,11,2076,0,0.9999906067476846
41.9029,12.4534,0,0,0,3,0.9997298918215743
-38.4161,-63.6167,2277,102,559,0,0.9999968339952809
23.7,121.0,440,7,387,3,0.889226238314136
53.9333,-116.5765,9219,167,0,0,0.9984255141492324
12.5211,-69.9683,0,0,0,3,0.9999264933391145
26.3351,17.228331,802,23,206,0,0.9761848627520053
-17.6797,149.4068,60,0,59,3,0.9998495439558507
47.862,127.7615,947,13,934,0,0.9999964721194936
-20.904305,165.618042,21,0,21,3,0.9998519871462851
-33.8688,151.2093,3162,49,2776,0,0.9999999891443833
27.5142,90.4336,1,0,0,3,0.9996303695501073
22.1667,113.55,10,0,6,3,0.9996575538975961
-20.348404,57.552152,332,10,322,3,0.9761910816911292
-12.8275,45.166244,326,4,125,3,0.9994163721223279
53.7267,-127.6476,2376,132,0,0,0.9999992099586267
35.1917,108.8701,253,3,242,3,0.9979041562530764
47.4116,28.3699,2614,72,505,0,0.9999953648840135
15.415,-61.371,18,0,16,3,0.9999143733465681
17.1899,-88.4976,37,2,20,3,0.999942677354351
37.5777,112.2922,81,0,4,3,0.9995763070632397
17.9,-62.8333,6,0,6,3,0.9999142621915398
6.4238,-66.5897,504,10,241,3,0.9912433180309034
1.373333,32.290275,770,0,578,0,0.9999729514489115
42.708678000000006,19.37439,0,0,0,3,0.9997097995761526
58.5953,25.0136,171,0,1,3,0.9994245717523057
36.1408,-5.3536,151,0,147,3,0.9995328208124221
56.8796,24.6032,0,0,0,3,0.9996492041678031
19.1959,109.7453,168,6,160,3,0.9994668887943176
19.1959,109.7453,168,6,161,3,0.9994591794557895
23.3417,113.4244,1564,8,1458,0,0.9999985390254388
56.2639,9.5018,11811,582,10620,4,1.0
20.593684,78.96288,3,0,3,3,0.9996797226832623
41.20438,74.766098,4446,46,2194,0,0.9999917256003004
40.1431,47.5769,8191,98,4606,0,0.9993215612073284
31.046051,34.851612,5358,20,224,0,0.9996953824058452
6.4238,-66.5897,381,10,185,3,0.9988538175574915
35.1917,108.8701,256,3,251,3,0.997404815605305
19.3133,-81.2546,3,1,0,3,0.9999347118579696
53.1424,-7.6921,5709,210,25,0,0.9997415456243135
55.1694,23.8813,1784,76,1449,0,0.9999936266005698
18.0708,-63.0501,41,3,33,3,0.999909795393434
9.9456,-9.6966,0,0,0,3,0.9998457948425187
33.93911,67.709953,31836,774,15651,4,1.0
13.1939,-59.5432,86,7,67,3,0.9998724549894047
51.2538,-85.3232,36961,2730,0,4,1.0
41.2956,122.6085,164,2,150,3,0.9995125234507918
17.570692,-3.996166000000001,650,32,271,0,0.9016067679122298
18.4207,-64.64,8,1,7,3,0.9999161996770148
12.879721,121.774017,9684,637,1408,4,1.0
17.357822,-62.782998,11,0,0,3,0.9999159277063381
36.1408,-5.3536,123,0,60,3,0.9997915838496669
35.1917,108.8701,306,3,263,3,0.9968091874806068
-0.228,15.8277,0,0,0,3,0.9998268613496983
23.8298,108.7881,252,2,217,3,0.9988458858946807
46.5653,-66.4619,120,0,0,3,0.9998742940005021
64.8255,-124.8457,0,0,0,3,0.9999592805322935
-37.8136,144.9631,3967,24,2329,0,0.9999999919631364
-22.9576,18.4904,16,0,3,3,0.9998713215731159
8.6195,0.8248,720,15,513,0,0.9979749140841975
41.6086,21.7453,555,18,23,0,0.5462385004320067
47.14,9.55,82,1,81,3,0.9997162012437302
53.7098,27.9534,4779,42,342,0,0.9999510400331897
41.1129,85.2401,10,0,0,3,0.9995780886346446
21.69400000000001,-71.7979,12,1,10,3,0.999922547384478
52.1326,5.2913,7431,434,0,4,0.9999591364598557
-13.2543,34.3015,41,3,9,3,0.999839905556088
-17.6797,149.4068,0,0,0,3,0.999808943743132
24.974,101.487,185,2,183,3,0.9992723575478106
48.3794,31.1656,11411,279,1498,0,0.7185503636603533
-0.228,15.8277,683,22,210,0,0.5064899460727567
14.4974,-14.4524,3836,43,1954,0,0.9999940183643993
